section: results
rank,teamName,roundNumber,avgScore,avgMarketSharePct
1,Foxed Corner,1,0.4236,11.78
2,Paper Trail Co.,1,0.4097,11.40
3,Deckle Edge,1,0.3948,10.98
4,The Binding,1,0.3445,9.58
5,Signature Fold,1,0.3269,9.09
6,Inkwell Studio,1,0.3094,8.61
7,Ampersand Press,1,0.2768,7.70
8,Quire,1,0.2498,6.95
9,Dot & Rule,1,0.2389,6.64
10,Margin Notes,1,0.2094,5.83
11,Colophon,1,0.2069,5.75
12,Gridline,1,0.2046,5.69

section: projections
channel: offline
product: Anime Notebook
teamName,roundNumber,score,unit_cost,revenue,customersObtained,sellingPrice,cogs,grossProfit
Ampersand Press,1,2.1000,7.40,1511.60,98,15.48,6142.00,-4630.40
Colophon,1,1.2000,5.64,0.00,104,10.31,4817.85,-3740.84
Deckle Edge,1,2.8000,9.38,653.07,74,20.71,7185.08,-5661.24
Dot & Rule,1,1.8000,6.74,0.00,105,12.95,5702.04,-4341.36
Foxed Corner,1,3.0000,9.60,817.14,78,20.87,7273.01,-5638.72
Gridline,1,1.1000,5.42,0.00,106,9.65,4650.80,-3624.21
Inkwell Studio,1,2.3000,7.84,0.00,94,16.92,6405.28,-4819.96
Margin Notes,1,1.3000,6.08,0.00,111,9.88,5244.67,-4149.81
Paper Trail Co.,1,2.9000,9.16,1141.40,51,22.55,7153.96,-6012.56
Quire,1,1.9000,7.18,704.72,97,14.46,5904.65,-4495.20
Signature Fold,1,2.4000,8.50,0.00,68,19.65,6840.03,-5505.87
The Binding,1,2.5000,8.72,512.74,57,20.95,6827.76,-5631.36

product: Cute Notebook
teamName,roundNumber,score,unit_cost,revenue,customersObtained,sellingPrice,cogs,grossProfit
Ampersand Press,1,2.1000,7.40,1556.01,101,15.48,6142.00,-4585.99
Colophon,1,1.2000,5.64,0.00,108,10.31,4817.85,-3709.20
Deckle Edge,1,2.8000,9.38,784.30,76,20.71,7185.08,-5616.48
Dot & Rule,1,1.8000,6.74,0.00,108,12.95,5702.04,-4301.39
Foxed Corner,1,3.0000,9.60,905.85,81,20.87,7273.01,-5590.71
Gridline,1,1.1000,5.42,0.00,110,9.65,4650.80,-3594.05
